nickname,age,gender,rate,review
tatajiさん,20代,男性,5,辛くてとても美味しい商品です。また買いたい
購入者さん,,,5,"辛いけど美味しい！近所のドンキではいつも売り切れで買えないため購入しました。
いつもお湯を全て捨てて食べていますが
辛くて美味しいです。
ペ◯ングの激辛より麺が太くてコシがあるので
食べ応えもあります。
こちらの店舗では初めての購入ですが到着した商品は消費期限も長く、丁寧な梱包で麺が砕けている等のトラブルもなく無事に届きました。
またこちらで購入したいです。"
購入者さん,,,4,"市販の辛い系のカップ麺で少し物足りなさを感じて、思い切って購入しました。
確かに噂通りの辛さですね！w
辛さに自信がないので、具材を入れたり、麺の量を半分にしてソースも少量からで食べてみました☆ミ
チーズが合うのがよく分かります♪
怠い時などに食べると体がシャキッとしそう！
麺も独特の食感でとても美味しいです！☆時々食べたくなる味のような感じがします。家族は辛いのが苦手なので私一人で頑張って食べます！笑"
f.fujimotoさん,50代,女性,5,"これは辛いけど美味しい辛さですね。
辛党じゃない息子達もワーワー言いながら食べてます笑
また購入すると思います！"
chunmi3さん,20代,女性,4,"やっぱりすごく辛い、、、だけど美味しいです。
辛さで苦味が出るものもありますが、これは無いです！
牛乳何杯のんでも辛味が残るので、乳製品たくさん用意することオススメします（笑）
ただ安いと思って買ったが、送料の方が高かったので、そこだけ残念です、、"
どきん35さん,20代,女性,4,"ずっと食べてみたく購入しました、おいしかったです。
思ってたより辛かったです！"
購入者さん,,,5,"リピートしまくりです。
とにかく大好きです。"
購入者さん,,,5,"美味しい初めて食べましたが、麺がモチモチで甘辛くて美味しかったです
リピしたいとおもいます"
購入者さん,,,5,リピートです。これは本当に美味しくて、大好きです。私は辛いのが好きなので、ほとんど汁は使わないで激辛で食べますが、汁多めに入れたり、チーズや卵を入れればかなりマイルドになります。
購入者さん,,,5,"味が美味しい味が甘辛くて美味しかったです。
辛さもしっかりあり、一袋一瞬でなくなりました。"
購入者さん,,,5,"リピートです激辛が好物で
とても気に入っています！
辛ラーメンよりも
本当に本当に辛いので
ソースは全部入れずに
少し残してます（&#9593;&#9697;&#9593;）
今回、おまけに
チーズの辛いインスタントを
付けて頂きました…が
今日届いて、賞味期限が
2週間…笑
売れ残りだったのでしょうかね…
嬉しいような、悪いような…笑"
サイコクさん,20代,男性,5,"辛すぎ
また食べたい辛さ
子供には絶対たべさせないように。"
購入者さん,,,4,リピートです。辛いもの好きにはいいんではないでしょうか？次は2倍に挑戦してみます。
購入者さん,,,5,辛いけど美味しい！口に入れた瞬間、あ！美味しい〜ってなるけど食べていくうちに辛い〜…ってなる。旨味がすごくある！とにかくクセになる美味しさで私はすごい好きな味でした！チーズトッピングで更に美味しくなりました！
むらさきジャックさん,40代,男性,5,ちょうどいい辛さパッケージはハングル文字なので全く読めず、YouTubeで作り方を確認して作りました。日本のカップ麺の焼きそばより麺はしっかりした感じ。モチモチしている。タレは甘辛で、おいしい。火薬がなくふりかけがちょっとショボい。私にはちょうどいい辛さでした。
購入者さん,,,4,"定期的に食べたくなる味です！
また購入します！！"
